month,day,hour,value
2,16,900,7
2,16,1000,6.3
2,16,1100,4
2,16,1200,3.7
2,16,1300,3.4
2,16,1400,2.6
2,16,1500,1.8
2,16,1600,0.8
2,16,1700,0.1
2,16,1800,-0.4
2,16,1900,-0.2
2,16,2000,-0.5
2,16,2100,-0.4
2,16,2200,0.7
2,16,2300,2.4
2,17,0,5.4
2,17,100,7.4
2,17,200,9.6
2,17,300,10.7
2,17,400,12.9
2,17,500,13.1
2,17,600,13.3
2,17,700,12.8
2,17,800,11.8
2,17,900,10.5
2,17,1000,9.1
2,17,1100,7.9
2,17,1200,6.5
2,17,1300,6.3
2,17,1400,4.5
2,17,1500,4.1
2,17,1600,3.5
2,17,1700,2.7
2,17,1800,2.1
2,17,1900,2
2,17,2000,1.3
2,17,2100,1.4
2,17,2200,2.2
2,17,2300,3.3
2,18,0,5.5
2,18,100,7.2
2,18,200,8.1
2,18,300,9.1
2,18,400,9.8
2,18,500,9.3
2,18,600,8.6
2,18,700,8.1
2,18,800,7.9
2,18,900,8.1
2,18,1000,8.1
2,18,1100,8.6
2,18,1200,8.8
2,18,1300,9.5
2,18,1400,9.8
2,18,1500,9.8
2,18,1600,10.1
2,18,1700,10.3
2,18,1800,10.6
2,18,1900,10.7
2,18,2000,10.8
2,18,2100,11.1
2,18,2200,11.8
2,18,2300,11.9
2,19,0,13
2,19,100,13.3
2,19,200,13.8
2,19,300,14.1
2,19,400,13.5
2,19,500,12.8
2,19,600,12.6
2,19,700,11.1
2,19,800,10
2,19,900,8.5
2,19,1000,7.4
2,19,1100,7.3
2,19,1200,6.2
2,19,1300,5.8
2,19,1400,5.6
2,19,1500,5
2,19,1600,4.8
2,19,1700,4.6
2,19,1800,4.1
2,19,1900,4
2,19,2000,4
2,19,2100,4.3
2,19,2200,4.5
2,19,2300,5
2,20,0,5.5
2,20,100,6.7
2,20,200,7
2,20,300,7.8
2,20,400,7.1
2,20,500,6.8
2,20,600,6.9
2,20,700,7
2,20,800,6.4
2,20,900,6.1
2,20,1000,6.1
2,20,1100,6.3
2,20,1200,6.5
2,20,1300,6.5
2,20,1400,6.4
2,20,1500,6.8
2,20,1600,6.5
2,20,1700,5.9
2,20,1800,6
2,20,1900,5.5
2,20,2000,5
2,20,2100,4.9
2,20,2200,4.9
2,20,2300,5.1
2,21,0,4.8
2,21,100,4.8
2,21,200,4.6
2,21,300,5.1
2,21,400,4.7
2,21,500,4.6
2,21,600,5.1
2,21,700,4.9
2,21,800,4.8
2,21,900,4
2,21,1000,3.2
